observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T12:34:21.879813+00:00,2026-08-31T15:34:20.627000+00:00,USDJPY,159.804,159.806,2.0
2026-08-31T12:34:22.883200+00:00,2026-08-31T15:34:20.627000+00:00,USDJPY,159.804,159.806,2.0
2026-08-31T12:34:23.886504+00:00,2026-08-31T15:34:23.250000+00:00,USDJPY,159.804,159.807,3.0
2026-08-31T12:34:24.890410+00:00,2026-08-31T15:34:24.018000+00:00,USDJPY,159.805,159.808,3.0
2026-08-31T12:34:25.945268+00:00,2026-08-31T15:34:25.458000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:26.949953+00:00,2026-08-31T15:34:25.458000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:27.954197+00:00,2026-08-31T15:34:27.922000+00:00,USDJPY,159.807,159.81,3.0
2026-08-31T12:34:28.957404+00:00,2026-08-31T15:34:28.658000+00:00,USDJPY,159.807,159.81,3.0
2026-08-31T12:34:29.961204+00:00,2026-08-31T15:34:28.658000+00:00,USDJPY,159.807,159.81,3.0
2026-08-31T12:34:30.963957+00:00,2026-08-31T15:34:28.658000+00:00,USDJPY,159.807,159.81,3.0
2026-08-31T12:34:31.968367+00:00,2026-08-31T15:34:32.051000+00:00,USDJPY,159.806,159.809,3.0
2026-08-31T12:34:32.971206+00:00,2026-08-31T15:34:33.011000+00:00,USDJPY,159.809,159.812,3.0
2026-08-31T12:34:33.975451+00:00,2026-08-31T15:34:33.778000+00:00,USDJPY,159.81,159.812,2.0
2026-08-31T12:34:34.978453+00:00,2026-08-31T15:34:33.778000+00:00,USDJPY,159.81,159.812,2.0
2026-08-31T12:34:35.982639+00:00,2026-08-31T15:34:35.795000+00:00,USDJPY,159.808,159.81,2.0
2026-08-31T12:34:36.985198+00:00,2026-08-31T15:34:36.114000+00:00,USDJPY,159.806,159.809,3.0
2026-08-31T12:34:37.990450+00:00,2026-08-31T15:34:37.970000+00:00,USDJPY,159.804,159.807,3.0
2026-08-31T12:34:38.993852+00:00,2026-08-31T15:34:38.194000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:39.997434+00:00,2026-08-31T15:34:38.194000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:41.000906+00:00,2026-08-31T15:34:38.194000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:42.004329+00:00,2026-08-31T15:34:38.194000+00:00,USDJPY,159.806,159.808,2.0
2026-08-31T12:34:43.008578+00:00,2026-08-31T15:34:42.355000+00:00,USDJPY,159.807,159.809,2.0
2026-08-31T12:34:44.011747+00:00,2026-08-31T15:34:43.731000+00:00,USDJPY,159.809,159.811,2.0
2026-08-31T12:34:45.015716+00:00,2026-08-31T15:34:43.731000+00:00,USDJPY,159.809,159.811,2.0
2026-08-31T12:34:46.019192+00:00,2026-08-31T15:34:46.034000+00:00,USDJPY,159.808,159.811,3.0
2026-08-31T12:34:47.023198+00:00,2026-08-31T15:34:46.034000+00:00,USDJPY,159.808,159.811,3.0
2026-08-31T12:34:48.028051+00:00,2026-08-31T15:34:47.858000+00:00,USDJPY,159.808,159.81,2.0
2026-08-31T12:34:49.030147+00:00,2026-08-31T15:34:48.467000+00:00,USDJPY,159.808,159.81,2.0
2026-08-31T12:34:50.032853+00:00,2026-08-31T15:34:49.522000+00:00,USDJPY,159.808,159.811,3.0
2026-08-31T12:34:51.035859+00:00,2026-08-31T15:34:50.067000+00:00,USDJPY,159.808,159.81,2.0
